Date-ordinal,social,justice,rights,Date
736168,0,0,0,2016-07-23
736169,0,0,1,2016-07-24
736170,0,0,0,2016-07-25
736171,0,0,0,2016-07-26
736174,0,0,1,2016-07-29
736179,0,0,0,2016-08-03
736184,0,0,0,2016-08-08
736187,0,0,1,2016-08-11
736203,0,0,14,2016-08-27
736205,0,0,35,2016-08-29
736207,0,0,14,2016-08-31
736225,2,0,4,2016-09-18
736226,2,0,14,2016-09-19
736227,0,2,18,2016-09-20
736229,0,0,13,2016-09-22
736251,0,0,2,2016-10-14
736252,0,0,19,2016-10-15
736255,0,0,48,2016-10-18
736257,0,0,0,2016-10-20
736258,0,0,1,2016-10-21
736260,0,0,51,2016-10-23
736261,0,0,50,2016-10-24
736264,0,0,3,2016-10-27
736265,0,0,2,2016-10-28
736268,0,0,4,2016-10-31
736269,0,0,14,2016-11-01
736272,0,0,6,2016-11-04
736275,0,0,0,2016-11-07
736278,0,0,78,2016-11-10
736281,0,0,6,2016-11-13
736282,0,0,66,2016-11-14
736283,1,0,19,2016-11-15
736284,0,0,2,2016-11-16
736289,0,0,0,2016-11-21
736290,0,0,0,2016-11-22
736293,0,0,6,2016-11-25
736296,0,0,6,2016-11-28
736302,0,0,1,2016-12-04
736304,0,0,1,2016-12-06
736308,0,0,2,2016-12-10
736318,0,0,0,2016-12-20
736324,0,0,5,2016-12-26
736328,0,0,22,2016-12-30
736331,0,0,5,2017-01-02
736334,1,0,57,2017-01-05
736335,7,0,69,2017-01-06
736336,0,0,40,2017-01-07
736337,0,0,3,2017-01-08
736338,2,0,62,2017-01-09
736339,1,0,29,2017-01-10
736341,0,0,24,2017-01-12
736342,0,0,10,2017-01-13
736343,0,0,0,2017-01-14
736345,0,0,9,2017-01-16
736346,0,0,48,2017-01-17
736347,3,0,62,2017-01-18
736348,6,0,63,2017-01-19
736349,2,0,31,2017-01-20
736354,0,0,6,2017-01-25
736355,0,0,12,2017-01-26
736356,0,0,6,2017-01-27
736362,0,0,6,2017-02-02
736364,5,3,13,2017-02-04
736365,1,0,8,2017-02-05
736366,6,5,12,2017-02-06
736368,0,0,6,2017-02-08
736369,0,0,3,2017-02-09
736370,0,0,1,2017-02-10
736371,0,0,1,2017-02-11
736373,0,0,20,2017-02-13
736374,0,0,12,2017-02-14
736384,0,0,3,2017-02-24
736385,0,0,4,2017-02-25
736387,0,0,3,2017-02-27
736390,0,0,6,2017-03-02
736391,0,0,1,2017-03-03
736400,0,0,1,2017-03-12
736408,0,0,0,2017-03-20
736416,0,0,21,2017-03-28
736417,0,0,34,2017-03-29
736418,0,0,0,2017-03-30
736419,0,0,0,2017-03-31
736429,1,0,4,2017-04-10
736431,0,0,6,2017-04-12
736434,0,0,0,2017-04-15
736435,1,0,14,2017-04-16
736437,0,0,1,2017-04-18
736438,0,0,1,2017-04-19
736450,0,0,3,2017-05-01
736453,0,0,9,2017-05-04
736454,0,0,3,2017-05-05
736455,0,0,3,2017-05-06
736456,0,0,0,2017-05-07
736457,0,0,0,2017-05-08
736459,0,0,0,2017-05-10
736465,0,0,0,2017-05-16
736466,0,0,3,2017-05-17
736467,0,0,9,2017-05-18
736470,0,0,0,2017-05-21
736472,0,0,0,2017-05-23
736473,0,0,0,2017-05-24
736481,0,0,2,2017-06-01
736485,0,0,2,2017-06-05
736493,0,0,1,2017-06-13
736494,0,0,1,2017-06-14
736502,0,0,3,2017-06-22
736504,0,0,1,2017-06-24
736507,0,0,2,2017-06-27
736513,0,0,0,2017-07-03
736514,0,0,0,2017-07-04
736516,0,0,0,2017-07-06
736521,0,0,1,2017-07-11
736523,0,0,0,2017-07-13
736527,0,0,4,2017-07-17
736528,0,0,1,2017-07-18
736530,0,0,0,2017-07-20
736531,0,0,0,2017-07-21
736532,0,0,0,2017-07-22
736534,0,0,3,2017-07-24
736538,0,0,11,2017-07-28
736541,0,0,22,2017-07-31
736542,0,0,24,2017-08-01
736543,0,0,2,2017-08-02
736544,0,0,0,2017-08-03
736555,0,0,1,2017-08-14
736585,0,0,4,2017-09-13
736606,1,0,1,2017-10-04
736613,1,0,0,2017-10-11
736614,0,0,4,2017-10-12
736615,0,0,6,2017-10-13
736618,1,0,7,2017-10-16
736619,0,0,0,2017-10-17
736623,0,0,1,2017-10-21
736624,0,0,0,2017-10-22
736625,0,0,8,2017-10-23
736626,0,0,2,2017-10-24
736627,0,0,0,2017-10-25
736634,0,0,4,2017-11-01
736641,0,0,3,2017-11-08
736644,0,0,1,2017-11-11
